posicion x en el mundo real ;posicion y en el mundo real;coordenada x en pixeles;coordenada y en pixeles
;;;
0;0;9;230
8;0;27;231
16;0;46;232
24;0;64;233
32;0;84;231
40;0;103;230
48;0;122;230
56;0;141;230
64;0;160;230
72;0;179;230
80;0;198;229
88;0;217;228
96;0;236;228
104;0;255;229
112;0;274;230
120;0;293;231
128;0;312;232
0;8;4;221
8;8;21;221
16;8;41;221
24;8;60;224
32;8;80;222
40;8;100;221
48;8;120;221
56;8;140;220
64;8;160;220
72;8;180;220
80;8;200;219
88;8;220;218
96;8;240;219
104;8;259;219
112;8;279;220
120;8;299;221
128;8;316;222
0;16;0;212
8;16;15;210
16;16;35;212
24;16;56;213
32;16;77;212
40;16;98;210
48;16;119;211
56;16;140;210
64;16;161;210
72;16;181;210
80;16;202;209
88;16;223;208
96;16;244;209
104;16;264;209
112;16;285;209
120;16;306;211
8;24;8;199
16;24;29;200
24;24;50;202
32;24;73;200
40;24;95;199
48;24;117;199
56;24;139;198
64;24;161;198
72;24;183;198
80;24;204;197
88;24;226;197
96;24;248;197
104;24;270;197
112;24;292;198
120;24;313;200
8;32;3;187
16;32;22;187
24;32;45;189
32;32;68;188
40;32;92;186
48;32;115;187
56;32;138;185
64;32;161;185
72;32;184;186
80;32;207;184
88;32;230;184
96;32;253;185
104;32;276;185
112;32;299;185
120;32;316;187
16;40;15;174
24;40;39;175
32;40;63;173
40;40;88;172
48;40;113;173
56;40;137;171
64;40;162;171
72;40;186;171
80;40;210;170
88;40;234;170
96;40;259;171
104;40;283;170
112;40;307;171
16;48;7;158
24;48;32;159
32;48;58;158
40;48;84;156
48;48;110;157
56;48;136;155
64;48;162;155
72;48;188;155
80;48;213;154
88;48;239;154
96;48;265;155
104;48;290;154
112;48;313;155
16;56;3;141
24;56;24;141
32;56;52;140
40;56;80;139
48;56;108;139
56;56;135;137
64;56;162;137
72;56;190;137
80;56;217;136
88;56;244;136
96;56;272;137
104;56;299;136
112;56;317;138
24;64;15;121
32;64;45;119
40;64;75;118
48;64;104;118
56;64;134;117
64;64;163;116
72;64;192;117
80;64;221;116
88;64;251;116
96;64;280;117
104;64;308;116
24;72;7;98
32;72;37;96
40;72;69;95
48;72;101;95
56;72;132;93
64;72;163;93
72;72;195;93
80;72;226;93
88;72;257;92
96;72;289;93
104;72;314;94
24;80;2;73
32;80;28;69
40;80;62;68
48;80;97;68
56;80;131;66
64;80;164;66
72;80;198;66
80;80;232;66
88;80;265;66
96;80;299;67
32;88;18;38
40;88;55;36
48;88;92;36
56;88;129;34
64;88;165;34
72;88;202;35
80;88;238;34
88;88;274;35
96;88;309;36
32;96;10;7
40;96;47;6
48;96;87;6
56;96;126;5
64;96;166;5
72;96;205;5
80;96;244;5
88;96;283;5
96;96;314;6
